,Class,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40
0,0,-509.43875,133.5029,-14.670622,45.42571,10.361301,16.062809,22.289886,-6.661918,18.79067,3.0090313,-0.6969533,14.2664585,-0.12199495,11.314152,5.6216216,-2.4404168,5.880217,-1.4954664,3.1751895,-0.5846063,-4.76402,4.298045,1.0043598,2.5708325,1.1386487,-0.14955832,3.6962013,-1.8965703,1.5732763,4.4260836,3.0135207,3.9899304,0.6216999,4.2632847,2.670231,0.19761081,3.798702,-1.6253338,0.6673553,3.3148797
1,0,-429.10336,130.33963,-22.146925,31.498243,2.9925616,14.319461,25.021437,-4.4797645,19.260838,5.4733367,-2.5063426,10.52922,-4.5785584,6.20001,6.3507376,-1.7611607,6.6074667,2.1047106,5.424079,5.463571,0.7526607,2.8168635,-1.1307739,1.0602672,0.73514926,0.6690747,4.6432166,0.22080663,-0.041590784,-1.8122327,-1.3158643,3.5200467,0.016293317,1.1899754,0.62141734,-0.8628117,2.46237,-0.9275855,0.9785881,2.9133112
2,0,-512.8092,144.38297,-45.292587,51.233273,3.72804,15.480604,33.057243,-8.960519,23.915836,5.6132536,-2.0316157,15.198489,-6.153253,9.916915,7.1285,-2.3597944,9.519194,1.3534993,6.8404837,4.5529876,-0.2238017,5.4988837,-1.2662661,2.0858965,0.5913824,0.14827126,5.0235696,-1.6107519,2.603627,1.0777621,-1.0388057,4.8253837,0.4143635,3.4271088,2.011868,-0.08784008,5.162412,-0.5449414,1.6577663,2.7435484
3,0,-478.68103,158.52989,-25.152557,31.757399,1.8580923,18.689701,27.5094,-11.126746,16.821674,2.9723353,-6.4533477,10.26033,-3.7977266,8.064041,6.71396,-4.41055,1.0950916,-3.7268445,4.167938,4.9902925,-0.38339522,2.3668818,-1.904854,3.286753,4.804449,3.429025,7.251467,4.037897,4.896033,1.6463407,2.2507443,7.5836525,1.0514529,2.4459496,3.106311,0.2937184,3.4106903,0.69835466,2.9512134,1.8562536
4,0,-450.50305,154.58798,-40.745937,30.536585,3.5205889,12.32145,24.066553,-8.209265,20.781223,2.6075366,-8.719727,11.0222435,-4.0758033,7.153633,7.731914,-2.4329567,7.251365,1.7114503,3.956679,4.788031,-0.57058793,2.3519783,0.08907364,3.3699727,3.3007991,1.20973,3.4067974,1.7068053,5.555596,3.37443,2.394281,7.2528834,4.054532,6.3752837,4.2402806,0.2363465,3.3699992,-1.0695926,-0.7399267,-0.9651601
5,0,-437.69675,123.07284,-46.504467,36.476704,-0.5386049,10.080287,28.161615,-5.776377,26.391586,6.60776,-9.282183,13.480439,-0.13744931,12.829285,15.886721,4.6050773,14.601125,5.6797786,0.42768452,-0.14713585,-2.6530378,2.8798542,0.79563385,0.9464249,-0.010691015,0.322135,3.1000419,-0.67346245,3.8385117,5.558523,3.5020628,3.8636646,1.1241158,5.347907,2.921043,0.17245865,3.8076742,-4.5005283,-4.168458,2.3242161
6,0,-477.64978,138.57896,-44.642437,39.092987,1.7196339,15.269841,31.338402,-9.685597,22.669674,6.55795,-5.2197137,14.927527,-5.488228,6.8145795,8.352533,-3.9638836,9.855938,6.854583,10.096773,11.928549,4.3210473,5.23438,0.27266675,0.7009887,-0.43640295,-1.908957,1.4423801,-2.1245265,0.13256578,-1.4983374,-1.8674102,4.1963015,0.571026,2.64992,2.1592965,-0.8221288,4.0069137,0.5509859,0.830791,2.109969
7,0,-518.93677,141.15184,-9.852202,48.80677,10.711619,16.236599,22.932447,-6.6916533,18.322075,2.8089483,-0.6039646,12.081369,-3.2039359,9.760159,4.582987,-2.2158885,6.174271,-2.399224,3.1471987,0.71675235,-3.30934,3.4082308,-1.8292044,1.2311723,0.72719437,-0.7253798,3.7871454,-0.6759705,2.7657526,3.6559546,2.8095388,6.039126,1.3892626,3.1280482,1.6063123,-0.8248025,3.1685221,-0.38267955,2.327129,3.2902968
8,0,-435.24826,126.279236,-35.74232,26.437368,-1.734888,13.249363,24.83352,-5.330035,21.458513,3.9300005,-2.448458,15.341704,-1.2060733,8.924167,7.4638395,-0.984515,8.264221,3.2241666,6.739233,3.4277089,-2.3839831,4.4475923,2.6341386,3.9329066,1.8162284,1.1309426,4.73501,-1.5274252,-0.056245573,0.81614584,-0.35833597,2.3651485,0.23595364,3.7184536,2.320109,0.27850366,3.9146996,-1.7896076,-0.059213996,3.40735
9,0,-445.52408,114.11532,-21.617779,42.62326,9.377706,13.618352,29.134714,-1.2503629,17.586731,6.439072,-1.3958607,11.502968,-2.7550838,8.059728,8.141687,-3.4186778,5.482235,2.0515823,2.955226,4.8821774,0.55609334,1.8355967,-0.99299544,0.32916546,0.64909333,0.62642413,3.7390575,0.15265635,-0.09467295,-0.8776656,-0.5524962,2.6183548,-0.24984933,1.5689344,1.2636541,-0.36638358,2.1753583,-1.3074373,0.44041932,2.2530196
